neurons,dropout,learning_rate,activation,MSE,RMSE,R2
256,0.1,0.01,tanh,3.38284,1.83925,0.871668
512,0.1,0.01,tanh,3.394999,1.842552,0.871207
256,0.1,0.001,tanh,3.196204,1.787793,0.878748
512,0.1,0.001,tanh,3.068551,1.751728,0.883591
256,0.2,0.01,tanh,3.438405,1.854294,0.86956
512,0.2,0.01,tanh,3.445822,1.856292,0.869279
256,0.2,0.001,tanh,3.238115,1.799476,0.877158
512,0.2,0.001,tanh,3.08074,1.755204,0.883128
256,0.1,0.01,relu,3.278129,1.810561,0.87564
512,0.1,0.01,relu,3.244942,1.801372,0.876899
256,0.1,0.001,relu,3.089444,1.757682,0.882798
512,0.1,0.001,relu,3.019776,1.73775,0.885441
256,0.2,0.01,relu,3.844958,1.960856,0.854137
512,0.2,0.01,relu,3.745604,1.935356,0.857906
256,0.2,0.001,relu,3.1926,1.786785,0.878885
512,0.2,0.001,relu,3.054055,1.747585,0.884141
