board,turn,move_num,result,result_scaled,result_scaled_tempo
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,True,1,1,5.695,5.695
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,False,1,1,5.695,5.695
rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,True,2,1,5.695,5.695
rnbqkbnr/pppp1ppp/4p3/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,False,2,1,5.695,5.695
rnbqkbnr/ppp2ppp/4p3/3p4/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,True,3,1,5.695,5.695
rnbqkbnr/ppp2ppp/4p3/3pP3/8/5N2/PPPP1PPP/RNBQKB1R b KQkq - 0 3,False,3,1,5.695,5.695
rnbqkbnr/pp3ppp/4p3/2ppP3/8/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 4,True,4,1,5.695,5.695
rnbqkbnr/pp3ppp/4p3/2ppP3/8/2P2N2/PP1P1PPP/RNBQKB1R b KQkq - 0 4,False,4,1,5.695,5.695
r1bqkbnr/pp3ppp/2n1p3/2ppP3/8/2P2N2/PP1P1PPP/RNBQKB1R w KQkq - 1 5,True,5,1,5.695,5.695
r1bqkbnr/pp3ppp/2n1p3/1BppP3/8/2P2N2/PP1P1PPP/RNBQK2R b KQkq - 2 5,False,5,1,5.695,5.695
r1bqkb1r/pp2nppp/2n1p3/1BppP3/8/2P2N2/PP1P1PPP/RNBQK2R w KQkq - 3 6,True,6,1,5.695,5.695
r1bqkb1r/pp2nppp/2n1p3/1BppP3/3P4/2P2N2/PP3PPP/RNBQK2R b KQkq - 0 6,False,6,1,5.695,5.695
r1b1kb1r/pp2nppp/2n1p3/qBppP3/3P4/2P2N2/PP3PPP/RNBQK2R w KQkq - 1 7,True,7,1,5.695,5.695
r1b1kb1r/pp2nppp/2B1p3/q1ppP3/3P4/2P2N2/PP3PPP/RNBQK2R b KQkq - 0 7,False,7,1,5.695,5.695
r1b1kb1r/p3nppp/2p1p3/q1ppP3/3P4/2P2N2/PP3PPP/RNBQK2R w KQkq - 0 8,True,8,1,5.695,5.695
r1b1kb1r/p3nppp/2p1p3/q1ppP3/3P4/2P2N2/PP3PPP/RNBQ1RK1 b kq - 1 8,False,8,1,5.695,5.695
r1b1kb1r/p3nppp/2p1p3/q2pP3/3p4/2P2N2/PP3PPP/RNBQ1RK1 w kq - 0 9,True,9,1,5.695,5.695
r1b1kb1r/p3nppp/2p1p3/q2pP3/3P4/5N2/PP3PPP/RNBQ1RK1 b kq - 0 9,False,9,1,5.695,5.695
r1b1kb1r/p4ppp/2p1p3/q2pPn2/3P4/5N2/PP3PPP/RNBQ1RK1 w kq - 1 10,True,10,1,5.695,5.695
r1b1kb1r/p4ppp/2p1p3/q2pPn2/3P4/2N2N2/PP3PPP/R1BQ1RK1 b kq - 2 10,False,10,1,5.695,5.695
1rb1kb1r/p4ppp/2p1p3/q2pPn2/3P4/2N2N2/PP3PPP/R1BQ1RK1 w k - 3 11,True,11,1,5.695,5.695
1rb1kb1r/p4ppp/2p1p3/q2pPn2/3P4/2N2N2/PP3PPP/R1BQR1K1 b k - 4 11,False,11,1,5.695,5.695
1r2kb1r/p4ppp/b1p1p3/q2pPn2/3P4/2N2N2/PP3PPP/R1BQR1K1 w k - 5 12,True,12,1,5.695,5.695
1r2kb1r/p4ppp/b1p1p3/q2pPn2/3P4/2N2N2/PP3PPP/1RBQR1K1 b k - 6 12,False,12,1,5.695,5.695
1r2kb1r/p4ppp/b1p1p3/3pPn2/1q1P4/2N2N2/PP3PPP/1RBQR1K1 w k - 7 13,True,13,1,5.695,5.695
1r2kb1r/p4ppp/b1p1p3/3pPn2/Nq1P4/5N2/PP3PPP/1RBQR1K1 b k - 8 13,False,13,1,5.695,5.695
1r2kb1r/p4ppp/2p1p3/1b1pPn2/Nq1P4/5N2/PP3PPP/1RBQR1K1 w k - 9 14,True,14,1,5.695,5.695
1r2kb1r/p4ppp/2p1p3/1b1pPn2/Nq1P4/1P3N2/P4PPP/1RBQR1K1 b k - 0 14,False,14,1,5.695,5.695
1r2kb1r/p3qppp/2p1p3/1b1pPn2/N2P4/1P3N2/P4PPP/1RBQR1K1 w k - 1 15,True,15,1,5.695,5.695
