board,turn,move_num,result,material_balance_pawn,material_balance_knight,material_balance_bishop,material_balance_rook,material_balance_queen,mobility_pawn,mobility_knight,mobility_bishop,mobility_rook,mobility_queen,mobility_king
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,1,1,2,0,0,0,0,0,0,0,0,0,0,0
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,0,1,0,0,0,0,0,0,1,-1,-5,0,-4,-1
rnbqkbnr/ppp1pppp/8/3p4/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,1,2,2,0,0,0,0,0,0,0,0,0,2,0
rnbqkbnr/ppp1pppp/8/3p4/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq - 1 2,0,2,0,0,0,0,0,0,2,-3,0,-1,-2,0
rnbqkbnr/pp2pppp/2p5/3p4/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 0 3,1,3,2,0,0,0,0,0,-1,4,0,1,-1,0
rnbqkbnr/pp2pppp/2p5/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 0 3,0,3,0,0,0,0,0,0,2,-4,-5,-1,-1,-1
rnbqkbnr/pp2pp1p/2p3p1/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 4,1,4,2,0,0,0,0,0,-1,4,3,1,1,1
rnbqkbnr/pp2pp1p/2p3p1/3pP3/3P4/2N5/PPP2PPP/R1BQKBNR b KQkq - 0 4,0,4,0,0,0,0,0,0,0,-5,-3,-1,-1,-1
rnbqk1nr/pp2ppbp/2p3p1/3pP3/3P4/2N5/PPP2PPP/R1BQKBNR w KQkq - 1 5,1,5,2,0,0,0,0,0,0,5,1,1,1,0
rnbqk1nr/pp2ppbp/2p3p1/3pP3/3P4/2N5/PPP1BPPP/R1BQK1NR b KQkq - 2 5,0,5,0,0,0,0,0,0,0,-3,-4,-1,3,0
rnb1k1nr/ppq1ppbp/2p3p1/3pP3/3P4/2N5/PPP1BPPP/R1BQK1NR w KQkq - 3 6,1,6,2,0,0,0,0,0,0,3,4,1,-4,-1
rnb1k1nr/ppq1ppbp/2p3p1/3pP3/3P1B2/2N5/PPP1BPPP/R2QK1NR b KQkq - 4 6,0,6,0,0,0,0,0,0,1,-3,-5,-2,2,1
rnb1k1nr/pp2ppbp/1qp3p1/3pP3/3P1B2/2N5/PPP1BPPP/R2QK1NR w KQkq - 5 7,1,7,2,0,0,0,0,0,1,3,5,2,-6,-1
rnb1k1nr/pp2ppbp/1qp3p1/3pP3/N2P1B2/8/PPP1BPPP/R2QK1NR b KQkq - 6 7,0,7,0,0,0,0,0,0,-2,-1,-5,-2,6,1
rnb1k1nr/pp2ppbp/2p3p1/3pP3/Nq1P1B2/8/PPP1BPPP/R2QK1NR w KQkq - 7 8,1,8,2,0,0,0,0,0,-10,-3,-8,0,-13,-2
rnb1k1nr/pp2ppbp/2p3p1/3pP3/Nq1P1B2/2P5/PP2BPPP/R2QK1NR b KQkq - 0 8,0,8,0,0,0,0,0,0,2,0,-5,-2,6,1
rnb1k1nr/pp2ppbp/2p3p1/q2pP3/N2P1B2/2P5/PP2BPPP/R2QK1NR w KQkq - 1 9,1,9,2,0,0,0,0,0,-1,0,5,2,-3,-1
rnb1k1nr/pp2ppbp/2p3p1/q2pP3/N2P1B2/2P2N2/PP2BPPP/R2QK2R b KQkq - 2 9,0,9,0,0,0,0,0,0,2,-2,-2,-4,3,0
rnbqk1nr/pp2ppbp/2p3p1/3pP3/N2P1B2/2P2N2/PP2BPPP/R2QK2R w KQkq - 3 10,1,10,2,0,0,0,0,0,-2,2,2,4,1,1
rnbqk1nr/pp2ppbp/2p3p1/3pP3/N2P1B2/2P2N2/PP1QBPPP/R3K2R b KQkq - 4 10,0,10,0,0,0,0,0,0,2,-1,-1,-5,0,-2
rn1qk1nr/pp2ppbp/2p3p1/3pPb2/N2P1B2/2P2N2/PP1QBPPP/R3K2R w KQkq - 5 11,1,11,2,0,0,0,0,0,-1,1,-3,5,-1,2
rn1qk1nr/pp2ppbp/2p3p1/2NpPb2/3P1B2/2P2N2/PP1QBPPP/R3K2R b KQkq - 6 11,0,11,0,0,0,0,0,0,-1,-7,3,-5,1,-3
rn1qk1nr/p3ppbp/1pp3p1/2NpPb2/3P1B2/2P2N2/PP1QBPPP/R3K2R w KQkq - 0 12,1,12,2,0,0,0,0,0,1,7,-3,5,1,3
rn1qk1nr/p3ppbp/1pp3p1/3pPb2/3P1B2/1NP2N2/PP1QBPPP/R3K2R b KQkq - 1 12,0,12,0,0,0,0,0,0,1,-2,3,-5,-1,-2
rn1qk1nr/4ppbp/1pp3p1/p2pPb2/3P1B2/1NP2N2/PP1QBPPP/R3K2R w KQkq - 0 13,1,13,2,0,0,0,0,0,0,2,-3,3,1,2
