board,turn,move_num,result
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,1,1,0
rnbqkbnr/pppppppp/8/8/8/2P5/PP1PPPPP/RNBQKBNR b KQkq - 0 1,0,1,2
rnbqkbnr/ppp1pppp/8/3p4/8/2P5/PP1PPPPP/RNBQKBNR w KQkq - 0 2,1,2,0
rnbqkbnr/ppp1pppp/8/3p4/8/2P2N2/PP1PPPPP/RNBQKB1R b KQkq - 1 2,0,2,2
rnbqkbnr/pp2pppp/8/2pp4/8/2P2N2/PP1PPPPP/RNBQKB1R w KQkq - 0 3,1,3,0
rnbqkbnr/pp2pppp/8/2pp4/8/2P1PN2/PP1P1PPP/RNBQKB1R b KQkq - 0 3,0,3,2
rnbqkbnr/1p2pppp/p7/2pp4/8/2P1PN2/PP1P1PPP/RNBQKB1R w KQkq - 0 4,1,4,0
rnbqkbnr/1p2pppp/p7/2pp4/2P5/4PN2/PP1P1PPP/RNBQKB1R b KQkq - 0 4,0,4,2
rnbqkbnr/1p2pppp/p7/2p5/2p5/4PN2/PP1P1PPP/RNBQKB1R w KQkq - 0 5,1,5,0
rnbqkbnr/1p2pppp/p7/2p5/P1p5/4PN2/1P1P1PPP/RNBQKB1R b KQkq - 0 5,0,5,2
rn1qkbnr/1p2pppp/p7/2p2b2/P1p5/4PN2/1P1P1PPP/RNBQKB1R w KQkq - 1 6,1,6,0
rn1qkbnr/1p2pppp/p7/2p2b2/P1p5/2N1PN2/1P1P1PPP/R1BQKB1R b KQkq - 2 6,0,6,2
r2qkbnr/1p2pppp/p1n5/2p2b2/P1p5/2N1PN2/1P1P1PPP/R1BQKB1R w KQkq - 3 7,1,7,0
r2qkbnr/1p2pppp/p1n5/2p2b2/P1p1P3/2N2N2/1P1P1PPP/R1BQKB1R b KQkq - 0 7,0,7,2
r2qkbnr/1p2pppp/p1n1b3/2p5/P1p1P3/2N2N2/1P1P1PPP/R1BQKB1R w KQkq - 1 8,1,8,0
