board,turn,move_num,result,result_scaled,result_scaled_tempo
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,True,1,1,5.6953125,5.6953125
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,False,1,1,5.6953125,5.6953125
rnbqkbnr/pp1ppppp/8/2p5/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,True,2,1,5.6953125,5.6953125
rnbqkbnr/pp1ppppp/8/2pP4/8/8/PPP1PPPP/RNBQKBNR b KQkq - 0 2,False,2,1,5.6953125,5.6953125
rnbqkb1r/pp1ppppp/5n2/2pP4/8/8/PPP1PPPP/RNBQKBNR w KQkq - 1 3,True,3,1,5.6953125,5.6953125
rnbqkb1r/pp1ppppp/5n2/2pP4/8/5N2/PPP1PPPP/RNBQKB1R b KQkq - 2 3,False,3,1,5.6953125,5.6953125
rnbqkb1r/pp1ppp1p/5np1/2pP4/8/5N2/PPP1PPPP/RNBQKB1R w KQkq - 0 4,True,4,1,5.6953125,5.6953125
rnbqkb1r/pp1ppp1p/5np1/2pP4/2P5/5N2/PP2PPPP/RNBQKB1R b KQkq - 0 4,False,4,1,5.6953125,5.6953125
rnbqkb1r/p2ppp1p/5np1/1ppP4/2P5/5N2/PP2PPPP/RNBQKB1R w KQkq - 0 5,True,5,1,5.6953125,5.6953125
rnbqkb1r/p2ppp1p/5np1/1PpP4/8/5N2/PP2PPPP/RNBQKB1R b KQkq - 0 5,False,5,1,5.6953125,5.6953125
rnbqkb1r/3ppp1p/p4np1/1PpP4/8/5N2/PP2PPPP/RNBQKB1R w KQkq - 0 6,True,6,1,5.6953125,5.6953125
rnbqkb1r/3ppp1p/P4np1/2pP4/8/5N2/PP2PPPP/RNBQKB1R b KQkq - 0 6,False,6,1,5.6953125,5.6953125
rn1qkb1r/3ppp1p/b4np1/2pP4/8/5N2/PP2PPPP/RNBQKB1R w KQkq - 0 7,True,7,1,5.6953125,5.6953125
rn1qkb1r/3ppp1p/b4np1/2pP4/8/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 1 7,False,7,1,5.6953125,5.6953125
rn1qk2r/3pppbp/b4np1/2pP4/8/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 8,True,8,1,5.6953125,5.6953125
rn1qk2r/3pppbp/b4np1/2pP4/P7/2N2N2/1P2PPPP/R1BQKB1R b KQkq - 0 8,False,8,1,5.6953125,5.6953125
rn2k2r/3pppbp/b4np1/q1pP4/P7/2N2N2/1P2PPPP/R1BQKB1R w KQkq - 1 9,True,9,1,5.6953125,5.6953125
rn2k2r/3pppbp/b4np1/q1pP4/P7/R1N2N2/1P2PPPP/2BQKB1R b Kkq - 2 9,False,9,1,5.6953125,5.6953125
rn3rk1/3pppbp/b4np1/q1pP4/P7/R1N2N2/1P2PPPP/2BQKB1R w K - 3 10,True,10,1,5.6953125,5.6953125
rn3rk1/3pppbp/b4np1/q1pP4/P7/R1N2N2/1P1BPPPP/3QKB1R b K - 4 10,False,10,1,5.6953125,5.6953125
rn3rk1/4ppbp/b2p1np1/q1pP4/P7/R1N2N2/1P1BPPPP/3QKB1R w K - 0 11,True,11,1,5.6953125,5.6953125
rn3rk1/4ppbp/b2p1np1/q1pP4/P7/R1N2NP1/1P1BPP1P/3QKB1R b K - 0 11,False,11,1,5.6953125,5.6953125
r4rk1/3nppbp/b2p1np1/q1pP4/P7/R1N2NP1/1P1BPP1P/3QKB1R w K - 1 12,True,12,1,5.6953125,5.6953125
r4rk1/3nppbp/b2p1np1/q1pP4/P3P3/R1N2NP1/1P1B1P1P/3QKB1R b K - 0 12,False,12,1,5.6953125,5.6953125
r4rk1/3nppbp/3p1np1/q1pP4/P3P3/R1N2NP1/1P1B1P1P/3QKb1R w K - 0 13,True,13,1,5.6953125,5.6953125
r4rk1/3nppbp/3p1np1/q1pP4/P3P3/R1N2NP1/1P1B1P1P/3Q1K1R b - - 0 13,False,13,1,5.6953125,5.6953125
r4rk1/3nppbp/3p1np1/2pP4/Pq2P3/R1N2NP1/1P1B1P1P/3Q1K1R w - - 1 14,True,14,1,5.6953125,5.6953125
r4rk1/3nppbp/3p1np1/2pP4/Pq2P3/R1N2NP1/1PQB1P1P/5K1R b - - 2 14,False,14,1,5.6953125,5.6953125
rr4k1/3nppbp/3p1np1/2pP4/Pq2P3/R1N2NP1/1PQB1P1P/5K1R w - - 3 15,True,15,1,5.6953125,5.6953125
rr4k1/3nppbp/3p1np1/2pP4/Pq2P3/2N2NP1/RPQB1P1P/5K1R b - - 4 15,False,15,1,5.6953125,5.6953125
rr4k1/3nppbp/3p2p1/2pP4/Pq2P1n1/2N2NP1/RPQB1P1P/5K1R w - - 5 16,True,16,1,5.6953125,5.6953125
rr4k1/3nppbp/3p2p1/2pP4/Pq2P1n1/5NP1/RPQB1P1P/3N1K1R b - - 6 16,False,16,1,5.6953125,5.6953125
rr4k1/3nppbp/3p2p1/2pP4/P3P1n1/1q3NP1/RPQB1P1P/3N1K1R w - - 7 17,True,17,1,5.6953125,5.6953125
rr4k1/3nppbp/3p2p1/2pP4/P3P1n1/1Q3NP1/RP1B1P1P/3N1K1R b - - 0 17,False,17,1,5.6953125,5.6953125
r5k1/3nppbp/3p2p1/2pP4/P3P1n1/1r3NP1/RP1B1P1P/3N1K1R w - - 0 18,True,18,1,5.6953125,5.6953125
r5k1/3nppbp/3p2p1/2pP4/P3P1n1/1rB2NP1/RP3P1P/3N1K1R b - - 1 18,False,18,1,5.6953125,5.6953125
r5k1/3npp1p/3p2p1/2pP4/P3P1n1/1rb2NP1/RP3P1P/3N1K1R w - - 0 19,True,19,1,5.6953125,5.6953125
r5k1/3npp1p/3p2p1/2pP4/P3P1n1/1rP2NP1/R4P1P/3N1K1R b - - 0 19,False,19,1,5.6953125,5.6953125
r5k1/1r1npp1p/3p2p1/2pP4/P3P1n1/2P2NP1/R4P1P/3N1K1R w - - 1 20,True,20,1,5.6953125,5.6953125
r5k1/1r1npp1p/3p2p1/2pP4/P3P1n1/2P2NP1/RN3P1P/5K1R b - - 2 20,False,20,1,5.6953125,5.6953125
r5k1/1r1np2p/3p2p1/2pP1p2/P3P1n1/2P2NP1/RN3P1P/5K1R w - - 0 21,True,21,1,5.6953125,5.6953125
r5k1/1r1np2p/3p2p1/2pP1P2/P5n1/2P2NP1/RN3P1P/5K1R b - - 0 21,False,21,1,5.6953125,5.6953125
r5k1/1r1np2p/3p4/2pP1p2/P5n1/2P2NP1/RN3P1P/5K1R w - - 0 22,True,22,1,5.6953125,5.6953125
r5k1/1r1np2p/3p4/2pP1p2/P5n1/2P2NP1/RN3PKP/7R b - - 1 22,False,22,1,5.6953125,5.6953125
