game,winner,moves,time(sec),timePerMove,avgSimDepth,numRootSim,avgBoardEvalScore,numFoundWinningMoveSets
1,black,58,26.5,1.5912988185882568,0.0,799,-1627,0
2,black,46,5.0,0.14613914489746094,105.48717948717949,38,0,0
3,black,46,10.4,2.2930850982666016,0.0,799,0,0
4,black,34,3.5,0.15543842315673828,125.37142857142857,34,0,0
5,black,40,22.3,1.9394865036010742,0.0,799,-214,0
6,black,66,27.8,1.9363949298858643,0.0,799,-645,0
7,black,90,76.3,2.406040668487549,0.0,799,-286,0
8,black,68,20.1,1.9618637561798096,0.0,799,-1072,0
9,black,30,5.8,1.7994167804718018,0.0,799,-2198,0
10,black,44,5.0,0.027225971221923828,127.83333333333333,5,0,0
avg,-,52.2,20.3,1.425639009475708,35.869194139194136,567.0,-604.2,0.0
