game,winner,moves,time(sec),timePerMove,avgSimDepth,numRootSim,avgBoardEvalScore,numFoundWinningMoveSets
1,*,300,556.5,1.7407748699188232,0.0,799.0,-134,0.0
2,*,300,495.6,2.7013169527053833,0.0,799.0,-1896,0.0
3,white,77,9.1,0.012767910957336426,84.43333333333334,3.0,0,0.0
4,*,300,466.6,2.33821439743042,0.0,799.0,-95,0.0
5,white,175,130.1,1.4001951217651367,65.45833333333333,411.0,0,0.0
6,black,106,22.8,1.4797064065933228,54.0,401.0,0,0.0
7,*,300,757.3,1.9841378927230835,0.0,799.0,-1255,0.0
8,white,77,23.6,0.06413519382476807,50.333333333333336,400.5,0,0.0
9,white,141,129.1,0.08690619468688965,0.0,799.0,-124,0.0
10,*,300,585.6,2.30997371673584,0.0,799.0,-498,0.0
avg,-,207.6,317.6,1.4118128657341003,25.4225,600.95,-400.2,0.0
