game,winner,moves,time(sec),timePerMove,avgSimDepth,numRootSim,avgBoardEvalScore,numFoundWinningMoveSets
1,black,68,139.0,3.742037057876587,136.32,799,-1440,24
2,black,44,86.9,3.5286753177642822,139.03625,799,-961,13
3,black,10,20.6,3.9801321029663086,140.73875,799,-565,32
4,black,40,83.4,3.7510569095611572,141.73875,799,918,25
5,black,26,52.2,3.8443453311920166,141.61,799,152,24
6,black,64,126.1,3.7172727584838867,137.81125,799,-511,9
7,black,50,99.0,3.7233338356018066,138.63,799,-93,7
8,black,70,132.4,3.2560627460479736,133.96875,799,0,4
9,black,116,220.9,3.379620313644409,130.36125,799,-1791,12
10,black,50,108.4,3.935218334197998,135.48,799,-591,2
avg,-,53.8,106.9,3.6857754707336428,137.5695,799.0,-488.2,15.2
