game,winner,moves,time(sec),avgSimDepth,numRootSim,avgBoardEvalScore,numFoundWinningMoveSets
1,tie,244,777.6,30.956875,799.0,0,800.0
2,*,300,945.8,64.20375,799.0,571,800.0
3,tie,280,926.6,31.398125,799.0,0,800.0
4,white,37,139.1,74.7175,799.0,none,800.0
5,tie,205,664.6,31.386875,799.0,0,800.0
6,tie,152,466.1,35.30375,799.0,0,800.0
7,white,157,602.9,75.48,799.0,none,800.0
8,white,181,614.0,40.540625,799.0,none,800.0
9,white,91,357.2,75.51625000000001,799.0,none,800.0
10,tie,256,791.5,24.246875,799.0,0,800.0
