game,winner,moves,time(sec),avgSimDepth,numRootSim,avgBoardEvalScore,numFoundWinningMoveSets
1,white,39,4.0,119.1875,15,none,15
2,white,9,1.5,141.65116279069767,42,none,42
3,white,23,3.1,138.49473684210525,94,none,94
4,white,13,1.3,136.64285714285714,13,none,13
5,white,41,4.4,127.38095238095238,20,none,20
6,white,37,5.1,136.2923076923077,64,none,64
7,white,37,5.6,128.39303482587064,200,none,200
8,white,13,2.0,144.28703703703704,107,none,107
9,white,7,0.7,136.0,6,none,6
10,white,71,18.9,136.74301675977654,357,none,357
