game,winner,moves,time(sec),timePerMove,avgSimDepth,numRootSim,avgBoardEvalScore,numFoundWinningMoveSets
1,black,72,8.8,0.08794617652893066,123.76470588235294,16,0,0
2,black,54,6.7,0.1395280361175537,142.53846153846155,25,0,0
3,black,80,19.9,3.3772943019866943,107.68625,799,-1246,0
4,black,42,4.1,0.046216487884521484,109.9,9,0,0
5,black,46,5.1,0.012578487396240234,142.5,1,0,0
6,black,54,7.5,0.12560033798217773,132.2608695652174,22,0,0
7,black,48,4.9,0.022571802139282227,147.0,3,0,0
8,black,82,29.3,0.10558700561523438,94.53571428571429,27,0,0
9,black,6,1.0,0.28653621673583984,142.12,49,0,0
10,black,48,6.5,0.08048653602600098,133.21428571428572,13,0,0
avg,-,53.2,9.4,0.42843453884124755,127.55202869860318,96.4,-124.6,0.0
