game,winner,moves,time(sec),timePerMove,avgSimDepth,numRootSim,avgBoardEvalScore,numFoundWinningMoveSets
1,*,300,319.7,2.250702738761902,126.27464015151516,432.0,-81,0.0
2,white,197,69.1,1.3958327770233154,78.39910714285715,402.5,0,0.0
3,white,39,3.8,0.050870537757873535,126.32142857142856,9.5,0,0.0
4,black,84,6.8,0.11175286769866943,137.15416666666667,21.0,0,0.0
5,*,300,278.4,1.8752437829971313,90.84625,439.0,0,0.0
6,white,33,3.4,0.05309748649597168,112.97744360902254,12.0,0,0.0
7,*,300,333.6,1.6865588426589966,35.12625,799.0,0,0.0
8,black,40,6.0,0.0340421199798584,117.10416666666666,6.0,0,0.0
9,black,134,19.8,0.5265457630157471,96.46283783783784,112.0,0,0.0
10,white,177,53.4,0.31295228004455566,7.246875,399.5,0,0.0
avg,-,160.4,109.4,0.8297599196434021,92.79131656459946,263.25,-8.1,0.0
