game,winner,moves,time(sec),timePerMove,avgSimDepth,numRootSim,avgBoardEvalScore,numFoundWinningMoveSets
1,black,44,89.5,3.8182952404022217,143.195,799,-848,20
2,black,96,192.5,3.364346742630005,125.8575,799,-951,6
3,black,76,148.8,3.568803310394287,137.26375,799,396,7
4,black,56,110.0,3.6541748046875,141.2325,799,-815,8
5,black,78,153.4,3.4123148918151855,131.33625,799,-625,19
6,black,52,103.1,3.2831389904022217,128.56875,799,0,32
7,black,26,53.4,3.7911875247955322,139.10625,799,635,38
8,black,56,117.0,4.0059990882873535,145.095,799,0,21
9,black,72,145.2,3.69911789894104,137.285,799,-588,16
10,black,36,75.2,3.8714470863342285,143.4575,799,-303,11
avg,-,59.2,118.8,3.6468825578689574,137.23975000000002,799.0,-309.9,17.8
