game,winner,moves,time(sec),timePerMove,avgSimDepth,numRootSim,avgBoardEvalScore,numFoundWinningMoveSets
1,white,127,558.1,2.261803984642029,68.9125,799.0,0,372.0
2,tie,272,734.4,0.3458462953567505,0.003125,799.0,0,0.0
3,tie,192,810.0,1.4079604148864746,37.4325,799.0,0,0.0
4,tie,275,1126.0,1.875283122062683,56.7925,799.0,0,8.0
5,*,300,989.5,2.1604279279708862,56.069374999999994,799.0,0,14.5
6,black,254,839.7,0.5556775331497192,9.92625,799.0,0,375.0
7,*,300,1013.8,2.822918653488159,85.864375,799.0,0,11.5
8,tie,103,381.0,1.4073697328567505,51.088750000000005,799.0,0,26.0
9,tie,248,804.2,0.7726514339447021,19.373749999999998,799.0,0,1.5
10,*,300,1074.7,2.536756157875061,72.479375,799.0,577,4.0
avg,-,237.1,833.1,1.6146695256233214,45.79425,799.0,57.7,81.25
