game,winner,moves,time(sec),timePerMove,avgSimDepth,numRootSim,avgBoardEvalScore,numFoundWinningMoveSets
1,black,54,22.8,0.24624300003051758,0.0,799,0,0
2,black,68,27.7,0.5909445285797119,0.0,799,0,0
3,black,8,7.4,0.5176272392272949,0.0,799,0,0
4,black,44,19.2,0.17920160293579102,0.0,799,-1065,0
5,black,32,14.8,0.7244222164154053,0.0,799,-719,0
6,black,48,20.9,0.7426574230194092,0.0,799,0,0
7,black,44,20.2,0.7286944389343262,0.0,799,0,0
8,black,64,26.8,0.693885087966919,0.0,799,0,0
9,black,66,27.4,0.8799886703491211,0.0,799,-1797,0
10,black,26,13.2,0.5595042705535889,0.0,799,0,0
avg,-,45.4,20.0,0.5863168478012085,0.0,799.0,-358.1,0.0
