game,winner,moves,time(sec),timePerMove,avgSimDepth,numRootSim,avgBoardEvalScore,numFoundWinningMoveSets
1,white,25,17.9,0.23081791400909424,0.0,799.0,0,0.0
2,tie,255,202.6,0.3487699031829834,0.0,799.0,-680,0.0
3,*,300,270.8,1.1709439754486084,0.0,799.0,-1264,0.0
4,*,300,299.1,1.8149915933609009,0.0,799.0,0,0.0
5,*,300,283.3,1.3259329795837402,0.0,799.0,0,0.0
6,*,300,267.8,1.2348859310150146,0.0,799.0,0,0.0
7,*,300,285.8,0.981191873550415,0.0,799.0,-1589,0.0
8,*,300,288.3,1.4631226062774658,0.0,799.0,0,0.0
9,*,300,275.3,1.5481829643249512,0.0,799.0,0,0.0
10,*,300,286.9,1.384749412536621,0.0,799.0,0,0.0
avg,-,268.0,247.8,1.1503589153289795,0.0,799.0,-353.3,0.0
