game,winner,moves,time(sec),avgSimDepth,numRootSim,avgBoardEvalScore,numFoundWinningMoveSets
1,black,110,8.3,121.95833333333334,2.5,none,2.5
2,*,300,145.9,44.13114035087719,427.5,none,428.0
3,black,182,76.5,95.41583333333334,400.5,0,401.0
4,tie,253,184.6,64.716875,799.0,0,800.0
5,*,300,302.9,54.685,401.5,0,402.0
6,tie,221,116.1,34.59125,799.0,0,800.0
7,black,98,8.2,62.53846153846154,6.0,none,6.0
8,black,112,8.8,96.37218045112782,66.5,none,66.5
9,white,185,44.3,54.0275,399.5,none,400.0
10,white,143,13.5,115.63333333333333,5.5,none,5.5
