game_id,winner,white_player,black_player
0,black,stockfish,minimax
3,black,stockfish,minimax
4,black,stockfish,minimax
5,white,stockfish,minimax
6,black,stockfish,minimax
7,draw,stockfish,minimax
8,black,stockfish,minimax
9,black,stockfish,minimax
10,black,stockfish,minimax
11,draw,stockfish,minimax
12,white,stockfish,minimax
13,black,stockfish,minimax
14,black,stockfish,minimax
15,black,stockfish,minimax
16,black,stockfish,minimax
17,black,stockfish,minimax
18,black,stockfish,minimax
19,black,stockfish,minimax
20,black,stockfish,minimax
21,white,stockfish,minimax
22,black,stockfish,minimax
23,draw,stockfish,minimax
24,black,stockfish,minimax
25,black,stockfish,minimax
26,black,stockfish,minimax
27,black,stockfish,minimax
28,draw,stockfish,minimax
29,white,stockfish,minimax
30,black,stockfish,minimax
31,white,stockfish,minimax
32,white,stockfish,minimax
33,black,stockfish,minimax
34,white,stockfish,minimax
35,black,stockfish,minimax
36,white,stockfish,minimax
37,black,stockfish,minimax
38,black,stockfish,minimax
39,black,stockfish,minimax
40,black,stockfish,minimax
41,black,stockfish,minimax
42,black,stockfish,minimax
43,white,stockfish,minimax
44,black,stockfish,minimax
45,black,stockfish,minimax
46,draw,stockfish,minimax
47,black,stockfish,minimax
48,draw,stockfish,minimax
49,black,stockfish,minimax
50,black,stockfish,minimax
51,black,stockfish,minimax
52,white,stockfish,minimax
53,black,stockfish,minimax
54,white,stockfish,minimax
55,black,stockfish,minimax
56,black,stockfish,minimax
57,draw,stockfish,minimax
58,black,stockfish,minimax
59,black,stockfish,minimax
60,black,stockfish,minimax
61,white,stockfish,minimax
62,black,stockfish,minimax
63,draw,stockfish,minimax
64,white,stockfish,minimax
65,black,stockfish,minimax
66,black,stockfish,minimax
67,white,stockfish,minimax
68,draw,stockfish,minimax
69,white,stockfish,minimax
70,black,stockfish,minimax
71,white,stockfish,minimax
72,black,stockfish,minimax
73,black,stockfish,minimax
74,draw,stockfish,minimax
75,black,stockfish,minimax
76,black,stockfish,minimax
77,black,stockfish,minimax
78,black,stockfish,minimax
79,black,stockfish,minimax
80,black,stockfish,minimax
81,black,stockfish,minimax
82,black,stockfish,minimax
83,white,stockfish,minimax
84,black,stockfish,minimax
85,white,stockfish,minimax
86,black,stockfish,minimax
87,white,stockfish,minimax
88,white,stockfish,minimax
89,draw,stockfish,minimax
90,white,stockfish,minimax
91,white,stockfish,minimax
92,black,stockfish,minimax
93,black,stockfish,minimax
94,black,stockfish,minimax
95,draw,stockfish,minimax
96,draw,stockfish,minimax
97,draw,stockfish,minimax
98,black,stockfish,minimax
99,black,stockfish,minimax
100,black,stockfish,minimax
101,black,stockfish,minimax
